Substation,,,,,,,,,,,,,,
Longitude,Latitude,Sub Num,Sub Name,Sub ID,Area Name,Zone Name,# of Buses,Nominal kV(max),Gen MW,Gen Mvar,Load MW,Load Mvar,Shunt MW,Shunt Mvar
-124.578,48.241,10000,NEAH BAY,1,Washington,1,1,138,,,9.64,2.54,0,0
-124.184,47.696,10001,FORKS,2,Washington,1,1,138,,,15.98,6.04,,
-124.057,47.04,10002,OCEAN SHORES,3,Washington,1,1,138,,,14.39,1.09,,
-124.172,46.928,10003,WESTPORT,4,Washington,1,2,138,,,10.45,2.75,,
-124.061,46.316,10004,LONG BEACH 1,5,Washington,1,2,138,,,13.44,1.28,,
-123.983,46.498,10005,OCEAN PARK,6,Washington,1,2,138,,,16.82,2.59,,
-123.847,47.174,10006,HOQUIAM,7,Washington,1,1,138,,,33.49,15.14,,
-123.762,48.003,10007,PORT ANGELES 1,8,Washington,1,1,138,,,32.02,8.17,,
-123.664,47.165,10008,ABERDEEN 1,9,Washington,1,2,345,,,57.79,30.06,,
-123.686,47.189,10009,MONTESANO,10,Washington,1,2,138,,,25.01,11.8,,
-123.615,46.656,10010,RAYMOND,11,Washington,1,2,138,,,25.89,7.16,,
-123.294,47.072,10011,ELMA 1,12,Washington,1,1,138,,,24.47,6.19,,
-123.332,47.988,10012,PORT ANGELES 2,13,Washington,1,2,345,,,53.35,4.54,0,33.05
-123.332,46.19,10013,CATHLAMET,14,Washington,1,1,138,,,8.99,2.13,,
-123.13,47.15,10014,SHELTON 1,15,Washington,1,1,138,,,48.19,15.92,,
-123.072,47.148,10015,SHELTON 2,16,Washington,1,2,345,,,43.96,8.97,,
-123.042,46.792,10016,ROCHESTER,17,Washington,1,1,138,,,30.89,12.76,,
-123.038,48.627,10017,FRIDAY HARBOR,18,Washington,1,1,138,,,18.65,4.97,,
-123.158,48.087,10018,SEQUIM 1,19,Washington,1,2,138,,,32.23,12.72,,
-123.082,48.002,10019,SEQUIM 2,20,Washington,1,1,138,,,32.23,1.85,,
-123.132,47.023,10020,OLYMPIA 1,21,Washington,1,2,138,,,39.8,7.18,,
-123.143,47.067,10021,OLYMPIA 2,22,Washington,1,1,138,,,41.5,5.68,,
-123.011,46.128,10022,LONGVIEW 1,23,Washington,1,1,138,,,59.05,6.96,,
-122.989,46.147,10023,LONGVIEW 2,24,Washington,1,3,138,,,59.05,42.65,,
-122.963,46.66,10024,CHEHALIS 1,25,Washington,1,1,138,,,58.29,11.32,,
-123.021,47.143,10025,OLYMPIA 3,26,Washington,1,2,138,,,36.59,13.17,,
-122.923,47.172,10026,OLYMPIA 4,27,Washington,1,1,138,,,43.57,13.69,,
-122.896,46.419,10027,WINLOCK,28,Washington,1,1,138,,,20.08,9.93,,
-122.848,46.755,10028,CENTRALIA 1,29,Washington,1,1,138,,,59.25,11.36,,
-122.926,47.454,10029,BELFAIR,30,Washington,1,2,138,,,37.54,1.74,,
-122.809,46.339,10030,CASTLE ROCK 1,31,Washington,1,1,138,,,25.35,12.91,,
-122.858,46.996,10031,OLYMPIA 5,32,Washington,1,2,138,,,45.76,5.94,,
-122.886,46.99,10032,OLYMPIA 6,33,Washington,1,3,138,,,45.76,10.24,,
-122.945,48.551,10033,EASTSOUND,34,Washington,1,2,138,,,17.51,1.94,,
-122.852,47.075,10034,OLYMPIA 7,35,Washington,1,1,138,,,43.68,4.56,,
-122.891,48.014,10035,PORT TOWNSEND,36,Washington,1,1,138,,,43.32,16.13,,
-122.807,46.922,10036,TENINO,37,Washington,1,2,138,,,17.57,5.16,,
-122.722,46.989,10037,LACEY 1,38,Washington,1,3,345,,,43.93,8.14,,
-122.791,47.003,10038,LACEY 2,39,Washington,1,1,138,,,43.93,27.62,,
-122.752,47.184,10039,OLYMPIA 8,40,Washington,1,1,138,,,51.07,18.71,0,23.16
-122.809,47.528,10040,BREMERTON 1,41,Washington,1,3,138,,,36.24,9.3,,
-122.878,47.53,10041,BREMERTON 2,42,Washington,1,4,138,,,46.26,6.82,,
-122.84,46.085,10042,KELSO,43,Washington,1,1,138,,,58.86,14.48,,
-122.739,47.362,10043,LAKEBAY 1,44,Washington,1,1,138,,,11.07,0.16,,
-122.715,46.895,10044,OLYMPIA 9,45,Washington,1,1,138,,,38.37,10.34,,
-122.693,47.014,10045,OLYMPIA 10,46,Washington,1,2,138,,,38.37,20.18,,
-122.767,46.019,10046,KALAMA,47,Washington,1,2,138,,,14.72,4.64,,
-122.788,47.304,10047,GIG HARBOR 1,48,Washington,1,1,138,,,27.96,2.98,,
-122.691,45.738,10048,VANCOUVER 1,49,Washington,1,1,138,,,28.46,7.93,,
-122.658,47.707,10049,SILVERDALE 1,50,Washington,1,4,345,,,55.86,12.51,,
-122.715,47.76,10050,SILVERDALE 2,51,Washington,1,2,138,,,22.32,8.77,,
-122.772,48.9,10051,BLAINE 1,52,Washington,1,3,138,,,40.86,5.87,,
-122.682,47.948,10052,PORT LUDLOW,53,Washington,1,1,138,,,10.87,8.58,,
-122.614,47.503,10053,PORT ORCHARD 1,54,Washington,1,2,138,,,33.23,4.19,,
-122.622,47.402,10054,PORT ORCHARD 2,55,Washington,1,1,138,,,33.23,6.75,,
-122.686,45.836,10055,RIDGEFIELD,56,Washington,1,1,138,,,37.67,4.7,,
-122.652,45.716,10056,VANCOUVER 2,57,Washington,1,1,138,,,31.46,1.7,,
-122.775,45.657,10057,VANCOUVER 3,58,Washington,1,1,138,,,31.46,11.16,,
-122.67,47.308,10058,STEILACOOM,59,Washington,1,3,138,,,18.02,4.43,,
-122.568,46.036,10059,WOODLAND 1,60,Washington,1,1,138,,,31.02,5.28,,
-122.665,47.107,10060,DUPONT,61,Washington,1,2,138,,,19.84,5.6,,
-122.658,45.591,10061,VANCOUVER 4,62,Washington,1,3,138,,,33.88,8.27,,
-122.615,45.638,10062,VANCOUVER 5,63,Washington,1,3,138,,,57.74,17.1,,
-122.692,48.592,10063,ANACORTES 1,64,Washington,1,1,138,,,51.34,13.64,,
-122.581,48.121,10064,COUPEVILLE,65,Washington,1,3,138,,,26.95,1.82,,
-122.651,46.652,10065,ONALASKA,66,Washington,1,2,138,,,12.48,4.31,,
-122.649,46.818,10066,RAINIER 1,67,Washington,1,1,138,,,11.2,2.7,,
-122.703,47.721,10067,BREMERTON 3,68,Washington,1,2,138,,,31.06,13.53,,
-122.642,47.566,10068,BREMERTON 4,69,Washington,1,1,138,,,31.06,11.74,,
-122.63,48.278,10069,OAK HARBOR 1,70,Washington,1,1,138,,,47.94,5.39,,
-122.535,48.239,10070,OAK HARBOR 2,71,Washington,1,4,345,,,45.39,21.63,,
-122.684,47.798,10071,POULSBO 1,72,Washington,1,2,138,,,35.43,19.18,,
-122.658,47.754,10072,POULSBO 2,73,Washington,1,4,138,,,35.43,7.06,,
-122.622,47.523,10073,BREMERTON 5,74,Washington,1,2,345,,,44.89,16.27,,
-122.627,45.575,10074,VANCOUVER 6,75,Washington,1,1,138,,,50.09,14.75,,
-122.554,45.669,10075,VANCOUVER 7,76,Washington,1,1,138,,,50.09,14.37,,
-122.606,45.638,10076,VANCOUVER 8,77,Washington,1,2,138,,,41.72,12.38,0,0
-122.719,47.248,10077,GIG HARBOR 2,78,Washington,1,2,138,,,71.03,8.23,,
-122.67,48.895,10078,FERNDALE 1,79,Washington,1,2,138,,,61.01,13.93,,
-122.666,45.858,10079,LA CENTER,80,Washington,1,1,138,,,20.07,5.15,,
-122.645,47.447,10080,GIG HARBOR 3,81,Washington,1,1,138,,,38.05,7.43,,
-122.565,47.15,10081,TACOMA 1,82,Washington,1,1,138,,,35,8.78,,
-122.668,47.587,10082,PORT ORCHARD 3,83,Washington,1,2,138,,,57.18,22.46,,
-122.62,47.615,10083,PORT ORCHARD 4,84,Washington,1,3,138,,,41.11,1.31,,
-122.552,45.746,10084,VANCOUVER 9,85,Washington,1,1,138,,,37.97,9.24,,
-122.584,45.697,10085,VANCOUVER 10,86,Washington,1,2,138,,,37.97,9.3,,
-122.64,45.657,10086,VANCOUVER 11,87,Washington,1,1,138,,,52.25,24.72,,
-122.665,47.498,10087,OLALLA,88,Washington,1,4,138,,,19.72,5.92,,
-122.596,47.116,10088,UNIVERSITY PLACE,89,Washington,1,1,138,,,35.35,3.89,,
-122.575,47.149,10089,LAKEWOOD 1,90,Washington,1,1,138,,,33.06,13.11,,
-122.607,47.062,10090,LAKEWOOD 2,91,Washington,1,2,138,,,33.52,4.02,,
-122.53,47.24,10091,TACOMA 2,92,Washington,1,2,138,,,32.33,10.35,0,85.96
-122.56,47.29,10092,TACOMA 3,93,Washington,1,1,138,,,15.22,4.81,,
-122.493,47.628,10093,BAINBRIDGE ISLAND,94,Washington,1,1,138,,,55.26,20.75,,
-122.537,47.803,10094,KINGSTON,95,Washington,1,3,138,,,25.6,5.53,,
-122.584,47.092,10095,ROY 1,96,Washington,1,1,138,,,26.64,6.54,,
-122.464,47.379,10096,TACOMA 4,97,Washington,1,2,138,,,47.72,5.4,,
-122.604,45.575,10097,VANCOUVER 12,98,Washington,1,1,138,,,32.36,10.77,,
-122.54,45.621,10098,VANCOUVER 13,99,Washington,1,1,138,,,32.36,10.63,,
-122.486,47.075,10099,LAKEWOOD 3,100,Washington,1,2,138,,,14.51,0.92,,
-122.419,47.281,10100,TACOMA 5,101,Washington,1,1,138,,,51.86,8.23,,
-122.424,45.763,10101,BATTLE GROUND 1,102,Washington,1,3,138,,,41.08,5.55,,
-122.529,45.882,10102,BATTLE GROUND 2,103,Washington,1,2,138,,,41.08,12.71,,
-122.567,45.575,10103,VANCOUVER 14,104,Washington,1,1,138,,,37,12.28,,
-122.574,45.677,10104,VANCOUVER 15,105,Washington,1,1,138,,,37,6.33,,
-122.544,48.828,10105,BELLINGHAM 1,106,Washington,1,1,138,,,55.41,4.59,,
-122.609,48.708,10106,BELLINGHAM 2,107,Washington,1,3,138,,,56.87,5.36,,
-122.413,47.241,10107,LAKEWOOD 4,108,Washington,1,1,138,,,48.59,5.25,,
-122.577,47.215,10108,LAKEWOOD 5,109,Washington,1,2,138,,,68.06,27.25,,
-122.608,48.209,10109,CAMANO ISLAND,110,Washington,1,2,138,,,37.59,7.22,,
-122.451,46.845,10110,YELM,111,Washington,1,2,138,,,51.74,17.55,,
-122.514,45.763,10111,VANCOUVER 16,112,Washington,1,2,138,,,63.47,6.05,,
-122.566,45.722,10112,VANCOUVER 17,113,Washington,1,4,345,,,63.47,25.63,,
-122.557,47.124,10113,TACOMA 6,114,Washington,1,3,345,,,55.17,29.09,,
-122.48,47.425,10114,VASHON,115,Washington,1,1,138,,,25.51,11.27,,
-122.441,47.213,10115,TACOMA 7,116,Washington,1,1,138,,,57.98,19.56,,
-122.465,49.023,10116,LYNDEN,117,Washington,1,1,138,,,45.34,7.86,,
-122.371,45.67,10117,BRUSH PRAIRIE,118,Washington,1,1,138,,,21.66,3.34,,
-122.507,48.012,10118,LANGLEY,119,Washington,1,2,138,,,12.67,2.56,,
-122.354,47.203,10119,TACOMA 8,120,Washington,1,2,138,,,40.75,8.43,,
-122.491,47.201,10120,TACOMA 9,121,Washington,1,1,138,,,40.75,6.92,,
-122.518,47.307,10121,TACOMA 10,122,Washington,1,1,138,,,24.17,6.6,,
-122.422,47.19,10122,TACOMA 11,123,Washington,1,1,138,,,81.39,49.51,,
-122.452,48.808,10123,BELLINGHAM 3,124,Washington,1,1,138,,,49.48,10.28,,
-122.436,48.759,10124,BELLINGHAM 4,125,Washington,1,2,138,,,49.48,11.08,,
-122.371,46.472,10125,MOSSYROCK,126,Washington,1,2,138,,,12.52,3.35,,
-122.474,48.65,10126,BELLINGHAM 5,127,Washington,1,1,138,,,36.39,3.34,,
-122.479,48.702,10127,BELLINGHAM 6,128,Washington,1,2,138,,,36.39,3.13,,
-122.546,47.917,10128,CLINTON 1,129,Washington,1,1,138,,,30.67,6.45,0,95.55
-122.495,47.22,10129,TACOMA 12,130,Washington,1,2,138,,,38.5,11.16,,
-122.331,47.136,10130,TACOMA 13,131,Washington,1,1,138,,,38.5,7.16,,
-122.354,48.636,10131,BOW,132,Washington,1,2,138,,,9.41,2.94,,
-122.429,47.104,10132,TACOMA 14,133,Washington,1,2,138,,,35.59,23.47,,
-122.338,47.19,10133,TACOMA 15,134,Washington,1,1,138,,,35.59,19.12,,
-122.504,47.688,10134,SEATTLE 1,135,Washington,1,1,138,,,47.25,13.43,,
-122.326,47.615,10135,SEATTLE 2,136,Washington,1,1,138,,,53.38,19.97,0,0
-122.327,47.503,10136,SEATTLE 3,137,Washington,1,1,138,,,35.45,4.71,0,53.3
-122.398,47.104,10137,SPANAWAY 1,138,Washington,1,1,138,,,51.81,10.71,,
-122.413,47.028,10138,SPANAWAY 2,139,Washington,1,1,138,,,51.81,15.83,,
-122.311,47.302,10139,TACOMA 16,140,Washington,1,1,138,,,48.36,11.43,,
-122.309,47.7,10140,SEATTLE 4,141,Washington,1,2,138,,,37.64,3.83,,
-122.491,47.783,10141,SEATTLE 5,142,Washington,1,2,138,,,37.64,13.28,,
-122.329,45.612,10142,CAMAS 1,143,Washington,1,1,138,,,33.48,6.19,,
-122.344,45.644,10143,CAMAS 2,144,Washington,1,1,138,,,33.48,8.37,,
-122.32,47.543,10144,SEATTLE 6,145,Washington,1,2,138,,,50.01,9.84,,
-122.282,47.677,10145,SEATTLE 7,146,Washington,1,1,138,,,50.75,10.16,,
-122.385,47.695,10146,SEATTLE 8,147,Washington,1,2,138,,,45.67,5.61,0,63.84
-122.401,48.383,10147,MOUNT VERNON 1,148,Washington,1,1,138,,,34.46,5.65,,
-122.401,48.392,10148,MOUNT VERNON 2,149,Washington,1,2,138,,,34.46,8.68,,
-122.308,47.202,10149,TACOMA 17,150,Washington,1,1,138,,,41.16,3.94,,
-122.514,47.88,10150,EDMONDS 1,151,Washington,1,1,138,,,43.93,29.92,,
-122.337,47.703,10151,SEATTLE 9,152,Washington,1,1,138,,,50.49,5.58,,
-122.415,47.299,10152,FEDERAL WAY 1,153,Washington,1,1,138,,,57.01,12.84,,
-122.426,47.221,10153,FEDERAL WAY 2,154,Washington,1,1,138,,,57.01,22.38,,
-122.328,47.4,10154,SEATTLE 10,155,Washington,1,2,138,,,31.11,9.46,,
-122.341,47.446,10155,SEATTLE 11,156,Washington,1,2,138,,,31.11,19.53,,
-122.375,47.286,10156,TACOMA 18,157,Washington,1,3,138,,,24.34,12.59,,
-122.325,47.363,10157,SEATTLE 12,158,Washington,1,1,138,,,48.72,8.04,,
-122.272,47.689,10158,SEATTLE 13,159,Washington,1,1,138,,,30.31,12.35,,
-122.415,47.64,10159,SEATTLE 14,160,Washington,1,2,138,,,54.9,12.07,,
-122.416,48.451,10160,BURLINGTON 1,161,Washington,1,1,138,,,35.69,9.54,,
-122.337,47.66,10161,SEATTLE 15,162,Washington,1,3,138,,,49.72,2.39,,
-122.311,45.799,10162,YACOLT,163,Washington,1,1,138,,,23.27,4.11,,
-122.313,47.825,10163,SEATTLE 16,164,Washington,1,2,138,,,53.47,13.72,,
-122.376,47.72,10164,SEATTLE 17,165,Washington,1,2,138,,,53.47,7.16,,
-122.399,47.637,10165,SEATTLE 18,166,Washington,1,1,138,,,55.09,7.78,,
-122.331,47.729,10166,SEATTLE 19,167,Washington,1,1,138,,,55.09,20.54,,
-122.241,47.665,10167,SEATTLE 20,168,Washington,1,1,138,,,24.57,5.95,,
-122.246,47.882,10168,EDMONDS 2,169,Washington,1,2,345,,,43.11,11.41,,
-122.313,47.922,10169,EDMONDS 3,170,Washington,1,1,138,,,44.92,20.45,,
-122.314,48.906,10170,EVERSON,171,Washington,1,5,138,,,28.63,8.04,,
-122.32,47.533,10171,SEATTLE 21,172,Washington,1,2,138,,,32.97,7.88,,
-122.229,47.496,10172,SEATTLE 22,173,Washington,1,1,138,,,24.02,1.73,,
-122.344,47.146,10173,PUYALLUP 1,174,Washington,1,1,138,,,53.39,18,,
-122.268,47.27,10174,PUYALLUP 2,175,Washington,1,2,138,,,49.12,9.58,,
-122.224,47.053,10175,PUYALLUP 3,176,Washington,1,1,138,,,32.24,3.8,,
-122.399,47.161,10176,PUYALLUP 4,177,Washington,1,1,138,,,32.24,4.22,,
-122.347,47.713,10177,SEATTLE 23,178,Washington,1,2,138,,,49.81,3.13,,
-122.271,47.395,10178,FEDERAL WAY 3,179,Washington,1,1,138,,,52.98,28.47,,
-122.343,47.242,10179,FEDERAL WAY 4,180,Washington,1,2,138,,,52.98,12.34,,
-122.263,47.335,10180,SEATTLE 24,181,Washington,1,2,138,,,56.71,7.15,,
-122.341,47.313,10181,SEATTLE 25,182,Washington,1,2,138,,,41.5,28.64,,
-122.317,48.205,10182,STANWOOD,183,Washington,1,2,138,,,50.57,7.59,,
-122.236,47.831,10183,MOUNTLAKE TERRACE,184,Washington,1,4,138,,,47.86,19.46,0,52.53
-122.296,47.594,10184,SEATTLE 26,185,Washington,1,1,138,,,60.83,25.54,,
-122.223,47.899,10185,MUKILTEO,186,Washington,1,2,138,,,48.61,20.93,,
-122.296,47.691,10186,SEATTLE 27,187,Washington,1,1,138,,,39.33,13.63,,
-122.316,47.763,10187,SEATTLE 28,188,Washington,1,1,138,,,39.33,5.55,,
-122.349,47.421,10188,SEATTLE 29,189,Washington,1,3,138,,,40.48,22.08,,
-122.298,47.43,10189,SEATTLE 30,190,Washington,1,1,138,,,40.48,8.05,0,98.43
-122.307,47.711,10190,SEATTLE 31,191,Washington,1,1,138,,,44.5,8.52,,
-122.263,47.64,10191,SEATTLE 32,192,Washington,1,2,138,,,44.5,7.51,,
-122.268,47.704,10192,SEATTLE 33,193,Washington,1,1,138,,,37.74,7.21,,
-122.339,47.641,10193,SEATTLE 34,194,Washington,1,2,138,,,37.74,9.18,,
-122.366,47.671,10194,SEATTLE 35,195,Washington,1,1,138,,,32.26,13.89,,
-122.286,47.647,10195,SEATTLE 36,196,Washington,1,1,138,,,32.26,6.52,,
-122.337,47.673,10196,SEATTLE 37,197,Washington,1,1,138,,,50.58,11.16,,
-122.377,47.923,10197,LYNNWOOD 1,198,Washington,1,2,138,,,32.27,4.42,,
-122.321,47.815,10198,LYNNWOOD 2,199,Washington,1,1,138,,,32.27,7.92,,
-122.219,47.653,10199,SEATTLE 38,200,Washington,1,3,138,,,52.71,7.81,,
-122.263,47.635,10200,SEATTLE 39,201,Washington,1,3,345,,,52.71,12.35,,
-122.322,47.729,10201,SEATTLE 40,202,Washington,1,5,345,,,55.45,10.21,,
-122.198,47.625,10202,SEATTLE 41,203,Washington,1,1,138,,,55.45,18.16,,
-122.367,47.815,10203,LYNNWOOD 3,204,Washington,1,1,138,,,43.2,7.24,,
-122.336,47.852,10204,LYNNWOOD 4,205,Washington,1,3,138,,,43.2,9.42,,
-122.184,47.035,10205,GRAHAM,206,Washington,1,3,138,,,87.17,16.32,,
-122.244,47.525,10206,SEATTLE 42,207,Washington,1,8,345,,,55.47,9.35,,
-122.208,47.452,10207,SEATTLE 43,208,Washington,1,1,138,,,51.28,15.06,0,104.4
-122.206,47.507,10208,SEATTLE 44,209,Washington,1,1,138,,,51.28,18.03,,
-122.23,47.84,10209,LYNNWOOD 5,210,Washington,1,1,138,,,35.97,3.79,,
-122.262,47.872,10210,LYNNWOOD 6,211,Washington,1,4,138,,,35.97,3.43,,
-122.347,47.151,10211,PUYALLUP 5,212,Washington,1,1,138,,,53.94,6.22,,
-122.276,47.368,10212,AUBURN 1,213,Washington,1,1,138,,,38.29,10.72,,
-122.333,47.252,10213,AUBURN 2,214,Washington,1,2,138,,,38.29,29.64,,
-122.356,47.11,10214,PUYALLUP 6,215,Washington,1,2,138,,,44.83,11.69,,
-122.322,47.223,10215,PUYALLUP 7,216,Washington,1,1,138,,,44.83,13.25,,
-122.275,47.844,10216,EVERETT 1,217,Washington,1,1,138,,,47.26,13.83,,
-122.175,47.991,10217,EVERETT 2,218,Washington,1,2,345,,,47.26,2.96,,
-122.284,47.347,10218,KENT 1,219,Washington,1,3,138,,,40.62,5.33,,
-122.334,47.48,10219,KENT 2,220,Washington,1,1,138,,,40.62,8.43,,
-122.29,47.753,10220,KENMORE,221,Washington,1,2,138,,,49.01,10.14,,
-122.154,47.576,10221,SEATTLE 45,222,Washington,1,1,138,,,57.82,24.92,,
-122.212,45.668,10222,WASHOUGAL,223,Washington,1,2,138,,,50.93,12.13,,
-122.276,48.158,10223,MARYSVILLE 1,224,Washington,1,1,138,,,32.62,5.86,,
-122.197,48.013,10224,MARYSVILLE 2,225,Washington,1,2,138,,,32.62,8.33,,
-122.269,47.622,10225,MERCER ISLAND,226,Washington,1,2,138,,,54.48,37.07,,
-122.252,47.889,10226,EVERETT 3,227,Washington,1,2,138,,,41.22,10.4,,
-122.295,47.95,10227,EVERETT 4,228,Washington,1,3,138,,,41.22,19.48,,
-122.163,47.266,10228,SUMNER,229,Washington,1,1,138,,,25.11,4.34,,
-122.157,47.507,10229,RENTON 1,230,Washington,1,2,138,,,25.47,2.38,,
-122.26,47.354,10230,AUBURN 3,231,Washington,1,1,138,,,37.98,4.75,,
-122.129,47.315,10231,AUBURN 4,232,Washington,1,1,138,,,37.98,9.65,,
-122.219,47.802,10232,KIRKLAND 1,233,Washington,1,1,138,,,48.49,17.77,,
-122.216,47.739,10233,KIRKLAND 2,234,Washington,1,1,138,,,48.49,9.62,,
-122.286,48.063,10234,EVERETT 5,235,Washington,1,1,138,,,35.5,8.68,,
-122.191,47.958,10235,EVERETT 6,236,Washington,1,1,138,,,35.5,11.17,0,62.96
-122.287,47.814,10236,BOTHELL 1,237,Washington,1,3,138,,,32.07,7.22,,
-122.23,47.869,10237,BOTHELL 2,238,Washington,1,4,138,,,32.07,11.04,,
-122.191,47.598,10238,BELLEVUE 1,239,Washington,1,1,138,,,33.54,8.62,,
-122.259,47.537,10239,BELLEVUE 2,240,Washington,1,1,138,,,33.54,15.69,,
-122.228,47.711,10240,BOTHELL 3,241,Washington,1,1,138,,,35.05,12.77,,
-122.24,47.724,10241,BOTHELL 4,242,Washington,1,1,138,,,35.05,11.96,,
-122.17,47.485,10242,RENTON 2,243,Washington,1,1,138,,,52.57,23.04,,
-122.188,47.822,10243,BOTHELL 5,244,Washington,1,1,138,,,61.36,11.11,,
-122.104,47.782,10244,BOTHELL 6,245,Washington,1,2,138,,,61.36,11.21,,
-122.271,47.359,10245,KENT 3,246,Washington,1,2,345,,,40.52,24.05,,
-122.238,47.349,10246,KENT 4,247,Washington,1,1,138,,,40.52,14.96,,
