Substation,,,,,,,,,,,,,,
Sub Num,Sub Name,Sub ID,Area Name,Longitude,Latitude,Zone Name,# of Buses,Nominal kV(max),Gen MW,Gen Mvar,Load MW,Load Mvar,Shunt MW,Shunt Mvar
1,Bus 1,Bus 1,IEEE14,-97.65009148,30.31230094,2,1,138,144.66,6.31,,,,
2,Bus 2,Bus 2,IEEE14,-97.54395016,30.3334007,2,1,138,0,34.87,22.37,0.15,,
3,Bus 3,Bus 3,IEEE14,-97.6124486,30.33749946,2,1,138,0,-15,22.37,0.15,,
4,Bus 4,Bus 4,IEEE14,-97.63254718,30.29410465,IEEE 14,3,138,,,15.58,7.85,,20.9
5,Bus 5,Bus 5,IEEE14,-97.53649316,30.35766383,2,2,138,9.28,14,36.93,8.71,0,-30.18
6,Bus 8,Bus 8,IEEE14,-97.46639525,30.34761038,IEEE 14,1,138,34.2,21.44,,,,
7,Bus 10,Bus 10,IEEE14,-97.67144822,30.27994306,IEEE 14,1,138,,,11.42,1.76,,
8,Bus 11,Bus 11,IEEE14,-97.69249541,30.23978251,IEEE 14,1,138,,,14.69,6.62,,
9,Bus 12,Bus 12,IEEE14,-97.68853357,30.21698319,IEEE 14,1,138,,,14.04,5.53,,
10,Bus 13,Bus 13,IEEE14,-97.66573414,30.22001618,IEEE 14,1,138,,,10.63,10.3,,
11,Bus 14,Bus 14,IEEE14,-97.59915955,30.2552038,IEEE 14,1,138,0,0,34.02,4.34,,
