Substation,,,,,,,,,,,,,,
Longitude,Latitude,Sub Num,Sub Name,Sub ID,Area Name,Zone Name,# of Buses,Nominal kV(max),Gen MW,Gen Mvar,Load MW,Load Mvar,Shunt MW,Shunt Mvar
-81.09,34.37,1,WINNSBORO,1,SouthCarolina,Columbia,2,138,,,30.2,8.05,,
-80.89,34.14,2,COLUMBIA 11,2,SouthCarolina,Columbia,2,138,,,93.62,24.97,,
-81.39,35.01,3,SMYRNA,3,SouthCarolina,York,2,138,,,2.18,0.58,,
-80.62,33.83,4,EASTOVER 2,4,SouthCarolina,Columbia,3,345,231.54,36.67,,,,
-81.87,34.19,5,CHAPPELLS 2,5,SouthCarolina,Midlands,2,138,,,1.72,0.46,,
-82.41,34.64,6,PELZER,6,SouthCarolina,Greenville,2,138,,,21.03,5.61,,
-82.9,34.79,7,SENECA 3,7,SouthCarolina,Clemson,5,345,1490.95,2.43,,,,
-81.59,33.81,8,MONETTA,8,SouthCarolina,Midlands,2,138,,,3.15,0.84,,
-81.27,34,9,LEXINGTON 2,9,SouthCarolina,Columbia,2,138,,,104.92,27.98,,
-82.1,34.93,10,WELLFORD,10,SouthCarolina,Spartanburg,4,345,,,13.67,3.64,,
-82.05,34.5,11,LAURENS,11,SouthCarolina,Spartanburg,2,138,,,35.91,9.58,0,57.35
-80.95,33.93,12,COLUMBIA 10,12,SouthCarolina,Columbia,2,138,,,70.54,18.81,,
-81.51,33.48,13,WINDSOR,13,SouthCarolina,Midlands,2,138,,,6.78,1.81,0,112.09
-81.51,34.15,14,PROSPERITY,14,SouthCarolina,Midlands,2,138,,,17.36,4.63,,
-81.98,33.61,15,NORTH AUGUSTA 2,15,SouthCarolina,Midlands,2,138,,,30.1,8.03,,
-81.01,34.77,16,LANDO,16,SouthCarolina,York,2,138,,,0.09,0.02,,
-81.71,35.11,17,GAFFNEY 3,17,SouthCarolina,Spartanburg,3,345,,,33.09,8.82,,
-82.11,33.64,18,CLARKS HILL 2,18,SouthCarolina,Midlands,2,138,,,3.1,0.83,,
-81.3,34.29,19,JENKINSVILLE,19,SouthCarolina,Columbia,2,138,,,1.43,0.38,,
-82.04,34.76,20,WOODRUFF,20,SouthCarolina,Spartanburg,2,138,,,24.77,6.61,,
-82.61,34.26,21,IVA,21,SouthCarolina,Midlands,5,138,3.9,-0.48,16.48,4.4,,
-81.06,33.95,22,CAYCE,22,SouthCarolina,Columbia,2,138,,,24.56,6.55,,
-82.08,33.97,23,TROY,23,SouthCarolina,Midlands,2,138,,,1.56,0.42,,
-82.23,34.77,24,SIMPSONVILLE 2,24,SouthCarolina,Greenville,3,345,,,79.77,21.27,,
-81.86,35.08,25,MAYO,25,SouthCarolina,Spartanburg,2,138,,,0.12,0.03,,
-80.79,34.1,26,BELTON 2,26,SouthCarolina,Columbia,3,138,0,0,24.54,6.54,,
-82.23,34.04,27,BRADLEY,27,SouthCarolina,Midlands,3,345,,,3.17,0.85,,
-81.9,34.65,28,ENOREE,28,SouthCarolina,Spartanburg,2,138,,,9.68,2.58,,
-82.37,34.53,29,HONEA PATH 2,29,SouthCarolina,Greenville,4,138,2.35,1.93,,,,
-81.3,33.51,30,SPRINGFIELD,30,SouthCarolina,Columbia,2,138,,,3.74,1,,
-80.98,34.8,31,EDGEMOOR,31,SouthCarolina,York,2,138,,,4.72,1.26,,
-82.91,34.73,32,NEWRY,32,SouthCarolina,Clemson,2,138,,,0.25,0.07,,
-82.2,33.66,33,CLARKS HILL 1,33,SouthCarolina,Midlands,3,345,111.83,-15.84,,,,
-81.63,34.31,34,NEWBERRY,34,SouthCarolina,Midlands,2,138,,,42.63,11.37,,
-81.6,33.65,35,AIKEN 3,35,SouthCarolina,Midlands,2,138,,,12.21,3.26,,
-81.03,34.94,36,ROCK HILL 3,36,SouthCarolina,York,2,138,,,3.57,0.95,,
-80.65,33.58,37,CAMERON,37,SouthCarolina,Columbia,2,138,,,4.16,1.11,,
-82.94,34.64,38,SENECA 2,38,SouthCarolina,Clemson,2,138,,,42.97,11.46,,
-81.33,34.44,39,BLAIR,39,SouthCarolina,Columbia,2,138,,,3.68,0.98,,
-83.08,34.78,40,WALHALLA,40,SouthCarolina,Clemson,2,138,,,22.47,5.99,,
-82.76,34.46,41,ANDERSON 4,41,SouthCarolina,Clemson,2,138,,,24.51,6.54,,
-81.71,34.9,42,PACOLET,42,SouthCarolina,Spartanburg,3,138,,,8.22,2.19,,
-82.43,34.18,43,ABBEVILLE,43,SouthCarolina,Midlands,2,138,,,26.94,7.18,,
-81.7,33.59,44,AIKEN 2,44,SouthCarolina,Midlands,2,138,,,55.78,14.87,,
-81.8,33.84,45,JOHNSTON,45,SouthCarolina,Midlands,2,138,,,11.11,2.96,,
-81.92,34.89,46,SPARTANBURG 6,46,SouthCarolina,Spartanburg,2,138,,,27.15,7.24,,
-81.59,34.97,47,GAFFNEY 2,47,SouthCarolina,Spartanburg,2,138,,,35.55,9.48,0,54.39
-81.45,33.92,48,LEESVILLE,48,SouthCarolina,Midlands,2,138,,,31.93,8.51,,
-81.86,33.51,49,LANGLEY,49,SouthCarolina,Midlands,3,138,,,5.67,1.51,,
-82.34,34.36,50,DONALDS,50,SouthCarolina,Midlands,2,138,,,6.13,1.64,,
-82.4,34.85,51,GREENVILLE 7,51,SouthCarolina,Greenville,2,138,,,17.91,4.78,,
-80.96,34.03,52,COLUMBIA 9,52,SouthCarolina,Columbia,2,138,,,37.65,10.04,,
-83,35.01,53,SALEM 3,53,SouthCarolina,Clemson,6,345,100.12,-11.7,,,,
-82.38,34.77,54,GREENVILLE 6,54,SouthCarolina,Greenville,2,138,,,58.43,15.58,0,65.81
-81.8,35.05,55,COWPENS,55,SouthCarolina,Spartanburg,2,138,,,14.38,3.84,,
-83.15,34.65,56,WESTMINSTER 2,56,SouthCarolina,Clemson,2,138,,,28.18,7.51,,
-80.79,33.69,57,SAINT MATTHEWS,57,SouthCarolina,Columbia,2,138,,,18.88,5.03,,
-82.15,34.24,58,GREENWOOD 2,58,SouthCarolina,Midlands,2,138,,,54.64,14.57,,
-82,35.14,59,FINGERVILLE,59,SouthCarolina,Spartanburg,2,138,,,0.15,0.04,,
-81.08,34.97,60,ROCK HILL 2,60,SouthCarolina,York,2,138,,,109.64,29.24,0,52.36
-81.07,35.05,61,YORK 2,61,SouthCarolina,York,3,138,1089.14,125.85,,,,
-81.34,34.13,62,CHAPIN,62,SouthCarolina,Columbia,3,345,,,40.51,10.8,,
-82.15,33.75,63,MODOC,63,SouthCarolina,Midlands,2,138,,,1.04,0.28,,
-82.01,34.93,64,SPARTANBURG 5,64,SouthCarolina,Spartanburg,3,345,,,53.16,14.18,0,0
-81.98,35.04,65,BOILING SPRINGS,65,SouthCarolina,Spartanburg,2,138,,,38.14,10.17,,
-82.3,34.86,66,GREENVILLE 5,66,SouthCarolina,Greenville,2,138,,,59.68,15.92,,
-81.27,33.76,67,PELION,67,SouthCarolina,Columbia,2,138,,,16.12,4.3,,
-81.86,33.57,68,GRANITEVILLE,68,SouthCarolina,Midlands,2,138,,,18.02,4.81,,
-81.21,34.14,69,IRMO,69,SouthCarolina,Columbia,3,345,,,69.25,18.47,,
-82.91,34.96,70,SALEM 2,70,SouthCarolina,Clemson,5,345,239.17,-16.76,,,,
-83.01,34.78,71,WEST UNION,71,SouthCarolina,Clemson,2,138,,,8.18,2.18,,
-81.96,34.37,72,CROSS HILL,72,SouthCarolina,Midlands,3,138,,,7.25,1.93,,
-80.92,34.71,73,FORT LAWN,73,SouthCarolina,York,4,345,,,10.6,2.83,,
-81.08,33.63,74,NORTH,74,SouthCarolina,Columbia,2,138,,,9.97,2.66,,
-82.76,34.56,75,ANDERSON 3,75,SouthCarolina,Clemson,2,138,,,54.59,14.56,0,68.25
-81.47,35.12,76,BLACKSBURG 2,76,SouthCarolina,York,2,138,,,20.51,5.47,,
-82.69,34.77,77,LIBERTY,77,SouthCarolina,Clemson,2,138,,,29.97,7.99,,
-80.59,33.53,78,ELLOREE,78,SouthCarolina,Columbia,2,138,,,7.8,2.08,,
-81.42,33.66,79,WAGENER,79,SouthCarolina,Midlands,2,138,,,9.77,2.61,,
-81.85,33.69,80,TRENTON,80,SouthCarolina,Midlands,2,138,,,11.41,3.04,,
-81.55,33.87,81,BATESBURG,81,SouthCarolina,Midlands,2,138,,,19.92,5.31,,
-81.22,34.06,82,COLUMBIA 8,82,SouthCarolina,Columbia,5,345,472.08,42.48,60.96,16.26,,
-81.3,34.22,83,LITTLE MOUNTAIN,83,SouthCarolina,Columbia,2,138,,,6.27,1.67,,
-81.81,34.42,84,CLINTON,84,SouthCarolina,Midlands,3,138,,,34.96,9.32,,
-81.83,33.52,85,WARRENVILLE,85,SouthCarolina,Midlands,3,138,,,17.76,4.74,,
-82.29,34.69,86,SIMPSONVILLE 1,86,SouthCarolina,Greenville,2,138,,,46.33,12.35,0,91.08
-82.11,34.86,87,DUNCAN,87,SouthCarolina,Spartanburg,2,138,,,19.56,5.22,,
-81.94,33.53,88,NORTH AUGUSTA 1,88,SouthCarolina,Midlands,2,138,,,67.68,18.05,,
-82.15,34.14,89,GREENWOOD 1,89,SouthCarolina,Midlands,2,138,,,58.65,15.64,,
-82.48,34.52,90,BELTON 1,90,SouthCarolina,Greenville,2,138,,,31.19,8.32,,
-81.82,33.61,91,VAUCLUSE,91,SouthCarolina,Midlands,2,138,,,0.23,0.06,,
-81.45,34.66,92,UNION 3,92,SouthCarolina,York,6,345,324.23,-13,,,,
-83.16,34.86,93,MOUNTAIN REST,93,SouthCarolina,Clemson,2,138,,,3.58,0.96,,
-82.73,34.93,94,PICKENS,94,SouthCarolina,Clemson,2,138,,,35.74,9.53,,
-83.05,34.44,95,WESTMINSTER 1,95,SouthCarolina,Clemson,2,138,2.9,-0.35,,,,
-81.15,33.94,96,WEST COLUMBIA 3,96,SouthCarolina,Columbia,3,345,,,42.31,11.28,,
-81.71,33.9,97,WARD,97,SouthCarolina,Midlands,3,345,,,1.88,0.5,,
-82.02,34.87,98,MOORE,98,SouthCarolina,Spartanburg,2,138,,,22.33,5.95,,
-81.42,33.4,99,WILLISTON,99,SouthCarolina,Midlands,2,138,,,13.71,3.65,,
-81,33.99,100,COLUMBIA 7,100,SouthCarolina,Columbia,2,138,,,52.54,14.01,0,75.27
-82.09,34.34,101,WATERLOO,101,SouthCarolina,Midlands,2,138,,,8.22,2.19,,
-81.43,35.16,102,BLACKSBURG 1,102,SouthCarolina,York,5,345,0,0,,,,
-82.33,34.99,103,TAYLORS,103,SouthCarolina,Greenville,2,138,,,67.17,17.91,,
-82.36,34.87,104,GREENVILLE 4,104,SouthCarolina,Greenville,7,138,1.1,-0.13,4.62,1.23,,
-82.98,34.95,105,SALEM 1,105,SouthCarolina,Clemson,2,138,,,12.35,3.29,,
-81.04,33.98,106,COLUMBIA 6,106,SouthCarolina,Columbia,5,345,0,0,43.59,11.62,0,0
-81.69,33.42,107,AIKEN 1,107,SouthCarolina,Midlands,2,138,,,81.33,21.69,,
