SubNumberFrom,SubNumberTo
40446,53133
74071,74075
13158,13189
30067,30058
10042,10046
30051,30050
40405,40421
13152,13145
28393,28394
40020,40021
10482,10503
60270,60380
28282,28297
10415,74020
60135,60192
40423,40411
23219,23136
25524,25542
60422,60370
40041,40494
21272,21377
60389,60193
13177,10061
25258,25278
20122,20127
30116,30192
50120,50081
30132,30136
20182,21346
30104,30074
10053,10073
40423,40424
40400,40440
10261,10224
53120,53133
25246,25281
28038,28071
25345,25260
10022,13096
25505,28430
13181,13162
25176,25222
28427,28260
23191,23171
74045,74048
23105,23104
40473,40487
40492,40500
10359,10358
10481,13273
21060,21039
50112,50095
20089,20084
28218,28244
25380,25523
30039,30042
60174,60230
60039,60042
25505,25410
10071,10197
21113,21171
60079,60114
25240,25341
23050,23181
20096,20100
21351,21228
10419,10422
40285,40449
28174,28214
60113,60112
53005,60083
28237,28270
40406,40446
25389,25585
53082,53133
21141,21125
23061,23195
23009,23005
40396,40401
13014,13011
10133,10149
53138,53149
25456,25467
21067,21068
21366,21364
21278,21251
20104,20203
40366,40387
10460,10436
21150,21187
25038,25075
25010,25013
25194,25588
13124,13125
20056,21330
13143,13138
25546,25252
28123,28117
60001,60005
21073,21088
60085,60413
21045,21026
40136,40167
23127,23131
13303,13248
60339,60414
40352,40465
77100,77119
30012,30177
60198,60182
13042,13069
77134,77117
40317,40363
40421,40420
60136,60206
20175,20217
10067,10050
23027,23021
80028,80039
10065,10125
23226,23086
40154,40197
77081,77119
74025,74027
25209,25212
13172,13155
28314,28462
28474,28414
10276,10281
40469,40474
25511,25550
53072,80003
25543,25502
25202,25209
60147,60378
70057,70035
50199,50200
20159,20249
21105,21147
28066,28067
20098,20239
30046,30188
50155,50093
10007,10012
60378,60210
74099,74097
25498,25207
60193,60201
23136,23169
25155,25218
25358,25577
30002,20174
25278,25325
50122,50037
74126,74055
53111,53112
13317,13263
30004,30019
60049,60048
40191,40213
13209,13208
10241,10192
40033,40041
21287,21285
40376,40380
10470,10429
60132,60167
25109,25115
13072,13058
13305,13266
30057,30151
28161,28209
25575,25524
25343,25403
10187,10198
30095,23209
23015,23013
10032,10031
13060,13061
60303,60291
40100,40458
25371,25357
10201,10254
10495,10472
50216,50220
25384,25296
40199,40208
40438,40453
25595,25516
50045,50109
21282,21304
28045,28505
40283,40286
10229,10208
25016,25021
25282,25406
70002,70007
10208,10270
21341,23052
28106,28111
60331,60403
70021,70020
60196,60178
10256,10432
80031,80029
70014,70017
28190,28226
20215,20210
13166,13177
13226,13228
60340,60344
60031,60003
21282,21317
74032,77105
10058,10043
50192,50226
50137,50061
25408,28002
13267,13121
77051,77053
21126,21191
40481,40405
30110,30124
10114,10096
28150,28167
40085,40176
40319,40343
70065,70076
77072,77112
70023,70079
25481,25484
10022,10507
60259,60247
13122,13147
